A,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,Y
1,110725,58169,52556,55650,23616,723,14394,206,19434,14611,15447,16874,17966,1341895,1881114,25,1416
5,96086,48075,48011,39782,15685,652,27922,233,14778,0,0,0,0,369163,623981,22,980
6,94049,44317,49732,34658,28724,932,4759,212,28977,2611,2881,3527,3905,452071,604749,22,1703
7,89387,43185,46202,32817,14219,866,27509,362,17184,11489,11822,11457,11878,444043,677319,18,711
9,117212,54860,62352,56413,28913,1450,13780,455,21783,16450,17667,20281,21811,947773,1431586,28,1424
10,76232,38012,38220,38737,13909,987,7487,162,18551,4378,4632,5642,6129,786705,1299501,18,1123
13,128865,61366,67499,49329,38796,1585,9801,10,36946,3878,4222,5401,5834,472193,670875,29,2152
14,69115,33925,35190,25751,11977,1269,11515,87,21973,5461,6071,7265,7946,671280,853271,19,2863
17,99032,46787,52245,42162,17225,1413,16619,58,26102,9898,10973,13731,15178,820955,1326517,22,1024
18,95775,47025,48750,28438,21148,1125,19669,163,28622,3978,4318,4723,5179,943541,1488430,25,2271
19,155927,72159,83768,115504,7405,859,25060,245,10216,21856,22516,26000,27823,2824891,4785063,42,2064
20,54324,25319,29005,8611,21651,759,1010,299,24413,6730,6759,7774,8038,320670,459675,17,969
22,99599,46589,53010,40923,25878,1266,7446,102,27482,0,0,0,0,10114,19960,30,104
23,75379,35207,40172,44950,7631,363,14445,56,9756,14304,14550,14021,14269,775706,1109173,24,1062
24,68084,31008,37076,16225,27089,702,2695,201,23825,18925,19216,21252,22000,556275,742612,18,1022
25,67588,33860,33728,32890,5248,603,19469,54,11131,12708,12886,11674,11848,614739,813105,20,1111
26,89595,42248,47347,26661,34951,617,4303,92,28262,11037,11332,12745,13139,531265,743518,22,689
28,76733,37194,39539,31070,19526,694,10222,43,17514,5507,5613,5776,5938,399633,570187,22,920
30,90104,43353,46751,22242,40552,1314,2776,45,30813,10303,10523,9668,9955,332718,459932,19,832
32,90061,44516,45545,32563,24982,783,11477,95,22884,12135,12227,12472,12624,625159,820744,23,1000
33,83828,39608,44220,14047,36153,1340,3084,52,34525,10089,10354,9746,10070,339645,452925,17,927
34,92523,42092,50431,22790,38908,1201,4239,161,29154,23258,23473,22219,22574,889071,1148138,22,1160
40,152868,71439,81429,33118,57550,1710,2548,205,62138,17610,17466,16789,16783,497591,692577,32,1902
