,nodes,lat,lon
0,PUDUCHERRY,11.9138598,79.8144722
1,SAWANTWADIROAD,15.9601113,74.1919338
2,DHAKA,23.810332,90.4125181
3,KURSEONG,26.8821382,88.2788511
4,VISAKHAPATNAM,17.6868159,83.2184815
5,BANDRATERMINUS,19.0635747,72.8404703
6,KIRANDUL,18.6336444,81.2573899
7,RAXAULJN,26.9797677,84.8515804
8,HATIA,22.749659,85.917677
9,CHANDIAROAD,25.0457679,68.6512926
10,BHUJ,23.2419997,69.6669324
11,KARIMNAGAR,18.4385553,79.1288412
12,TIRUCHENDUR,8.4963081,78.1250848
13,ABOHAR,30.1452928,74.1993043
14,KATHGODAM,29.2693264,79.5441198
15,TRIVANDRUMCNTL,8.5241391,76.9366376
16,HISAR,29.1491875,75.7216527
17,ERNAKULAMJN,9.9692679,76.2919491
18,HSAHIBNANDED,19.1501968,77.3163335
19,MAHUVAJN,21.0942166,71.7563632
20,DHULE,20.9042201,74.7748979
21,CHALISGAONJN,20.4637095,74.9988628
22,HYDERABADDECAN,17.385044,78.486671
23,DAUNDJN,18.4640056,74.5789146
24,AISHBAGH,26.8361858,80.9086757
25,BHAGALPUR,25.2414303,86.9924358
26,HARIDWARJN,29.9482998,78.1555524
27,NAUTANWA,27.4241659,83.4269996
28,SILIGURIJN,26.7235148,88.414031
29,MAUJN,25.2786483,78.7164428
30,SAHARANPUR,29.967079,77.5510172
31,RAIPURJN,21.2563505,81.6298804
32,TIRUNELVELI,8.7139126,77.7566523
33,SAMBALPUR,21.4668716,83.9811665
34,DADAR,19.021324,72.8424178
35,KHARAGPURJN,22.3408782,87.3258378
36,BHAVNAGARTRMUS,21.7819741,72.141243
37,JAGDALPUR,19.0740973,82.008014
38,METUPALAIYAM,11.2890873,76.9409686
39,NEWTINSUKIAJN,27.486666,95.3545399
40,HARIHAR,14.5304566,75.8010962
41,RAJGIR,25.0172573,85.4161642
42,SANTRAGACHIJN,22.583087,88.2832942
43,ALLEPPEY,9.4980667,76.3388484
44,AZAMGARH,26.0737044,83.1859458
45,AMRAVATI,20.9374238,77.7795513
46,LALGOLA,24.4133349,88.2607188
47,ROHTAKJN,28.8911221,76.5789844
48,BHIND,26.5587354,78.7872876
49,TALGUPPA,14.2158245,74.9004158
50,BAGALKOT,16.1725355,75.6557206
51,ERODEJN,11.327909,77.726034
52,PATNAJN,25.602573,85.1372404
53,DELHI,28.6139391,77.2090212
54,METURDAM,11.7862533,77.8007853
55,BANGRIPOSI,22.152718,86.5413297
56,JOGBANI,26.3991195,87.2568579
57,GAYAJN,24.8042298,84.9996294
58,UDAIPURCITY,24.585445,73.712479
59,HALDIA,22.0666742,88.0698118
60,DURG,21.1904494,81.2849169
61,PALGHATTOWN,10.7867303,76.6547932
62,MANAMADURAIJN,9.6821715,78.4537026
63,AMBALACANTJN,30.3610314,76.8485468
64,NEWDELHI,28.6139391,77.2090212
65,PORBANDAR,21.6417069,69.6292654
66,NEWJALPAIGURI,26.6842567,88.4428015
67,KHAJURAHO,24.8318452,79.9198549
68,INDOREJNBG,22.716663,75.867968
69,DALLIRAJHARA,20.5831135,81.0809848
