,train,source,dest,dist
0,NTV DURG EXP   ,NAUTANWA       ,DURG           ,1152
1,SOUTH BIHAR EXP,RAJENDRANAGAR T,DURG           ,1113
2,IPR RJPB EXPRES,ISLAMPUR       ,RAJENDRANAGAR T,63
3,JU MBF LINK EXP,BHAGAT KI KOTHI,MUNABAO        ,325
4,UDHYOGKARMI EXP,KANPUR CENTRAL ,VALSAD         ,1305
5,HAPA BSP EXPRES,HAPA           ,BILASPUR JN    ,1691
6,JBP INDB EXP   ,JABALPUR       ,INDORE JN BG   ,555
7,JAIPUR PASSENGE,AHMEDABAD JN   ,JAIPUR         ,631
8,MANMAD LTT EXP ,MANMAD JN      ,LOKMANYATILAK T,245
9,LTT KYQ AC EXP ,LOKMANYATILAK T,KAMAKHYA       ,2587
10,KAMAYANI EXPRES,VARANASI JN    ,LOKMANYATILAK T,1639
11,JHS LJN  INT EX,JHANSI JN      ,LUCKNOW NE     ,294
12,SARVODAYA EXP  ,JAMMU TAWI     ,AHMEDABAD JN   ,1669
13,MFP DDN EXP    ,MUZAFFARPUR JN ,DEHRADUN       ,1124
14,YPR GARIB RATH ,SECUNDERABAD JN,YESVANTPUR JN  ,688
15,LALBAGH EXP    ,BANGALORE CY JN,CHENNAI CENTRAL,362
16,BDTS JP SF EXP ,BANDRA TERMINUS,JAIPUR         ,1148
17,BTI JAT EXP    ,BHATINDA JN    ,JAMMU TAWI     ,490
18,DHI CSN T F SPL,DHULE          ,CHALISGAON JN  ,57
19,SURAT EXPRESS  ,MAHUVA JN      ,SURAT          ,629
20,LOHIT EXPRESS  ,JAMMU TAWI     ,GUWAHATI       ,2351
21,VSKP TPTY SF SP,VISAKHAPATNAM  ,TIRUPATI       ,736
22,ADI CHENNAI EXP,AHMEDABAD JN   ,CHENNAI CENTRAL,1723
23,MYSORE EXP     ,TALGUPPA       ,MYSORE JN      ,373
24,JAMMU MAIL     ,UDHAMPUR       ,DELHI          ,637
25,DLI DBG SPL    ,DELHI          ,DARBHANGA JN   ,1140
26,RNC GARIB NAWAZ,AJMER JN       ,RANCHI         ,1678
27,AMRAVATI CSTM E,AMRAVATI       ,MUMBAI CST     ,672
28,AWB NED EXP    ,AURANGABAD     ,H SAHIB NANDED ,237
29,SHIV GANGA EXP ,NEW DELHI      ,MANDUADIH      ,755
30,JAT JAMNAGR EXP,JAMMU TAWI     ,JAMNAGAR       ,2000
31,YPR VASCO EXP  ,YESVANTPUR JN  ,VASCO DA GAMA  ,700
32,SAHYADRI EXPRES,MUMBAI CST     ,C SHAHUMHARAJ T,518
33,HTE PUNE EXP   ,HATIA          ,PUNE JN        ,1774
34,A P EXP        ,HYDERABAD DECAN,NEW DELHI      ,1677
35,KOAA NLDM EXP  ,KOLKATA        ,NANGAL DAM     ,1803
36,BSB BE EXPRESS ,VARANASI JN    ,BAREILLY       ,559
37,SATPURA EXPRESS,JABALPUR       ,BALAGHAT JN    ,187
38,LKO SVDK SPL   ,LUCKNOW NR     ,SHMATA VD KATRA,1056
39,VSKP BGKT EXP  ,VISAKHAPATNAM  ,BHAGAT KI KOTHI,2069
40,BTI LGH PASNGER,BHATINDA JN    ,LALGARH JN     ,321
41,GTL TPTY PASS  ,GUNTAKAL JN    ,TIRUPATI       ,371
42,HSX DLI EXP    ,HOSHIARPUR     ,DELHI          ,402
43,GARHWAL EXPRESS,DELHI          ,KOTDWARA       ,238
44,PURSHOTTAM EXP ,NEW DELHI      ,PURI           ,1862
45,CSTM JBP SPL   ,MUMBAI CST     ,JABALPUR       ,997
46,DNR GRD LINK EX,DANAPUR        ,GIRIDIH        ,298
47,RNC  KYQ EXPRES,RANCHI         ,KAMAKHYA       ,1216
48,SBP PURI INT EX,SAMBALPUR      ,PURI           ,341
49,BKN BDTS SF EXP,BIKANER JN     ,BANDRA TERMINUS,1212
50,MUV INTERCITY  ,GORAKHPUR JN   ,MANDUADIH      ,235
51,YPR KCG EXP    ,YESVANTPUR JN  ,KACHEGUDA      ,610
52,BSP BGKTSPECIAL,BILASPUR JN    ,BHAGAT KI KOTHI,1818
53,HWH MAS MAIL   ,HOWRAH JN      ,CHENNAI CENTRAL,1662
54,VLNK VSG EXP   ,VELLANKANNI    ,VASCO DA GAMA  ,1315
55,PANCHVALLEY PAS,INDORE JN BG   ,CHHINDWARA JN  ,554
56,HWH SBP SUP EXP,HOWRAH JN      ,SAMBALPUR      ,661
57,LKO PYG PASS   ,LUCKNOW NR     ,PRAYAG GHAT    ,228
58,BSB LKO INTRCIT,VARANASI JN    ,LUCKNOW NR     ,302
59,CNB ASR EXP    ,KANPUR CENTRAL ,AMRITSAR JN    ,898
60,SHIMOGA EXP    ,YESVANTPUR JN  ,SHIMOGA TOWN   ,269
61,JP BDTS SF EXP ,JAIPUR         ,BANDRA TERMINUS,1148
62,SURI HWH EXP   ,SIURI          ,HOWRAH JN      ,211
63,AMI JBP SUP EXP,AMRAVATI       ,JABALPUR       ,726
64,NGP KOP EXPRESS,NAGPUR         ,C SHAHUMHARAJ T,1038
65,LTT PURI SUP EX,LOKMANYATILAK T,PURI           ,1851
66,BBS BPO EXPRESS,BHUBANESWAR    ,BANGRIPOSI     ,313
67,JP RTM FASTPASS,JAIPUR         ,RATLAM JN      ,506
68,PUNE SHATABDI  ,SECUNDERABAD JN,PUNE JN        ,597
69,MQ BGKT EXP    ,MANNARGUDI     ,BHAGAT KI KOTHI,2861
70,JAMMU AII EXP  ,JAMMU TAWI     ,AJMER JN       ,1017
71,UDYAN EXPRESS  ,MUMBAI CST     ,BANGALORE CY JN,1153
72,MADGAON EXP    ,MANGALORE CNTL ,MADGAON        ,437
73,ASR KCVL EXPRES,AMRITSAR JN    ,KOCHUVELI      ,3597
74,SUR INTERCITY  ,PUNE JN        ,SOLAPUR JN     ,264
75,BGKT ADI EXPRES,BHAGAT KI KOTHI,AHMEDABAD JN   ,480
76,KAKINADA PSGR  ,TIRUPATI       ,KAKINADA PORT  ,600
77,DBRG RNY SPECIA,DIBRUGARH      ,RANGIYA JN     ,604
78,AII MYS EXPRESS,AJMER JN       ,MYSORE JN      ,2290
79,KCVL GARIB RATH,LOKMANYATILAK T,KOCHUVELI      ,1812
80,RAPTISAGAR EXP ,ERNAKULAM JN   ,BARAUNI JN     ,3441
81,SHTT DBB RR EXP,SILGHAT TOWN   ,DHUBRI         ,485
82,GD ASN EXPRESS ,GONDA JN       ,ASANSOL JN     ,862
83,DBRT RAJDHANI E,DIBRUGARH TOWN ,NEW DELHI      ,2459
84,JBP GARIB RATH ,MUMBAI CST     ,JABALPUR       ,997
85,RMM TPTY EXP   ,RAMESWARAM     ,TIRUPATI       ,828
86,BUDHPURNIMA EXP,VARANASI JN    ,RAJGIR         ,410
87,HYDERABAD PASS ,AURANGABAD     ,HYDERABAD DECAN,582
88,MAO HAPA SUP EX,MADGAON        ,HAPA           ,1531
89,MLDT DGHA EXP  ,MALDA TOWN     ,DIGHA FLAG STN ,653
90,NED DD PASNGR  ,H SAHIB NANDED ,DAUND JN       ,586
91,DBRT RAJDHANI  ,NEW DELHI      ,DIBRUGARH TOWN ,2438
92,MAHUVA EXPRESS ,SURAT          ,MAHUVA JN      ,630
93,BPL JU PASS    ,BHOPAL  JN     ,JODHPUR JN     ,993
94,JAIPUR EXPRESS ,OKHA           ,JAIPUR         ,1056
95,TRIVNDRM RJDHNI,H NIZAMUDDIN   ,TRIVANDRUM CNTL,3149
96,MEWAR EXPRESS  ,UDAIPUR CITY   ,H NIZAMUDDIN   ,743
97,GWL INTERCITY  ,BHOPAL  JN     ,GWALIOR        ,485
98,PNBE BDTS EXP  ,PATNA JN       ,BANDRA TERMINUS,1845
99,DLI  SDAH EXP  ,DELHI          ,SEALDAH        ,1640
100,MAHANANDA EXP  ,DELHI          ,ALIPUR DUAR JN ,1651
101,JP JU SF EXP   ,JAIPUR         ,JODHPUR JN     ,313
102,SNSI HWH SUP EX,SAINAGAR SHIRDI,HOWRAH JN      ,1792
103,NGP SC SUP EXP ,NAGPUR         ,SECUNDERABAD JN,578
104,KOLKATA RAJDHNI,HOWRAH JN      ,NEW DELHI      ,1447
105,TCN CHENNAI EXP,TIRUCHENDUR    ,CHENNAI EGMORE ,779
106,CDG  INDB  EXP ,CHANDIGARH     ,INDORE JN BG   ,1141
107,MAS DURONTO EXP,MADURAI JN     ,CHENNAI CENTRAL,559
108,BPL INDB PASS  ,BHOPAL  JN     ,INDORE JN BG   ,263
109,KCG AK EXP     ,KACHEGUDA      ,AKOLA JN       ,514
110,BARMER AC EXP  ,YESVANTPUR JN  ,BARMER         ,2251
111,BSP HAPA  SF EX,BILASPUR JN    ,HAPA           ,1691
112,PVR TTKL FAREPA,MIRAJ JN       ,PANDHARPUR     ,137
113,AGNIBINA EXPRES,ASANSOL JN     ,HOWRAH JN      ,200
114,BHAVNAGAR EXP  ,BANDRA TERMINUS,BHAVNAGAR TRMUS,778
115,KCGGNT PASS    ,KACHEGUDA      ,GUNTUR JN      ,623
116,GKP INTERCITY  ,MANDUADIH      ,GORAKHPUR JN   ,235
117,PVR YPR SPECIAL,PANDHARPUR     ,YESVANTPUR JN  ,880
118,DLI HSX EXP    ,DELHI          ,HOSHIARPUR     ,402
119,DEE PORBNDR EXP,DELHI S ROHILLA,PORBANDAR      ,1392
120,TATA JAT EXP   ,TATANAGAR JN   ,JAMMU TAWI     ,2026
121,ALD LTT DURONTO,ALLAHABAD JN   ,LOKMANYATILAK T,1348
122,BE LKO ALD PASS,BAREILLY       ,PRAYAG         ,461
123,BKN DEE S F EXP,BIKANER JN     ,DELHI S ROHILLA,458
124,JAMMU GHY EXPRE,JAMMU TAWI     ,GUWAHATI       ,2431
125,BANGALORE PASSR,MYSORE JN      ,BANGALORE CY JN,139
126,SHRI SHAKTI EXP,SHMATA VD KATRA,NEW DELHI      ,655
127,DWR SUR PASSENG,DHARWAR        ,SOLAPUR JN     ,378
128,LTT RJPB EXP   ,LOKMANYATILAK T,RAJENDRANAGAR T,1697
129,LKO NDLS SPL   ,LUCKNOW NR     ,NEW DELHI      ,493
130,VSKP NS PASS   ,VISAKHAPATNAM  ,NARASAPUR      ,300
131,HUBLI PASS     ,VIJAYAWADA JN  ,HUBLI JN       ,693
132,ADI PNBE EXPRES,AHMEDABAD JN   ,PATNA JN       ,1671
133,GODAN EXPRESS  ,GORAKHPUR JN   ,LOKMANYATILAK T,1733
134,LICHCHAVI EXP  ,ANAND VIHAR TRM,SITAMARHI      ,1193
135,KCG  MAQ  EXP  ,KACHEGUDA      ,MANGALORE CNTL ,1532
136,VSKP QLN EXP   ,VISAKHAPATNAM  ,KOLLAM JN      ,1588
137,GONDWANA EXPRES,H NIZAMUDDIN   ,RAIGARH        ,1626
